"Month","Monthly closings of the Dow-Jones industrial index, Aug. 1968 ? Aug. 1981"
"1968-08",3645
"1968-09",3626
"1968-10",3634
"1968-11",3620.5
"1968-12",3607
"1969-01",3589
"1969-02",3590
"1969-03",3622
"1969-04",3634
"1969-05",3616
"1969-06",3634
"1969-07",3631
"1969-08",3613
"1969-09",3576
"1969-10",3537
"1969-11",3547
"1969-12",3540
"1970-01",3543
"1970-02",3568
"1970-03",3566
"1970-04",3566
"1970-05",3555
"1970-06",3581
"1970-07",3578
"1970-08",3587
"1970-09",3599
"1970-10",3584
"1970-11",3585
"1970-12",3593
"1971-01",3593
"1971-02",3603
"1971-03",3622
"1971-04",3630
"1971-05",3642
"1971-06",3635
"1971-07",3645
"1971-08",3636
"1971-09",3649
"1971-10",3674
"1971-11",3672
"1971-12",3665
"1972-01",3688
"1972-02",3681
"1972-03",3693
"1972-04",3698
"1972-05",3662
"1972-06",3625
"1972-07",3643
"1972-08",3648
"1972-09",3640
"1972-10",3664
"1972-11",3662
"1972-12",3684
"1973-01",3678
"1973-02",3711
"1973-03",3704
"1973-04",3685
"1973-05",3694
"1973-06",3670
"1973-07",3674
"1973-08",3688
"1973-09",3686
"1973-10",3684
"1973-11",3678
"1973-12",3684
"1974-01",3697
"1974-02",3702
"1974-03",3704
"1974-04",3710
"1974-05",3719
"1974-06",3734
"1974-07",3730
"1974-08",3741
"1974-09",3764
"1974-10",3743
"1974-11",3717
"1974-12",3726
"1975-01",3752
"1975-02",3755
"1975-03",3745
"1975-04",3762
"1975-05",3758
"1975-06",3776
"1975-07",3794
"1975-08",3776
"1975-09",3757
"1975-10",3784
"1975-11",3799
"1975-12",3804
"1976-01",3821
"1976-02",3866
"1976-03",3850
"1976-04",3849
"1976-05",3842
"1976-06",3867
"1976-07",3870
"1976-08",3870
"1976-09",3884
"1976-10",3892
"1976-11",3914
"1976-12",3913
"1977-01",3895
"1977-02",3926
"1977-03",3945
"1977-04",3978
"1977-05",3964
"1977-06",3976
"1977-07",3968
"1977-08",3871
"1977-09",3906
"1977-10",3906
"1977-11",3932
"1977-12",3895
"1978-01",3895
"1978-02",3904
"1978-03",3928
"1978-04",3937
"1978-05",3923
"1978-06",3888
"1978-07",3900
"1978-08",3912
"1978-09",3892
"1978-10",3840
"1978-11",3839
"1978-12",3832
"1979-01",3809
"1979-02",3832
"1979-03",3824
"1979-04",3832
"1979-05",3856
"1979-06",3852
"1979-07",3853
"1979-08",3831
"1979-09",3863
"1979-10",3863
"1979-11",3850
"1979-12",3848
"1980-01",3865
"1980-02",3896
"1980-03",3865
"1980-04",3863
"1980-05",3869
"1980-06",3821
"1980-07",3775
"1980-08",3762
"1980-09",3699
"1980-10",3627
"1980-11",3636
"1980-12",3675
"1981-01",3680
"1981-02",3693
"1981-03",3674
"1981-04",3689
"1981-05",3682
"1981-06",3662
"1981-07",3663
"1981-08",3662
"1981-09",3620
"1981-10",3620
"1981-11",3599
"1981-12",3653
"1982-01",3649
"1982-02",3700
"1982-03",3684
"1982-04",3668
"1982-05",3682
"1982-06",3701
"1982-07",3714
"1982-08",3698
"1982-09",3696
"1982-10",3670
"1982-11",3629
"1982-12",3656
"1983-01",3629
"1983-02",3653
"1983-03",3660
"1983-04",3672
"1983-05",3721
"1983-06",3733
"1983-07",3759
"1983-08",3766
"1983-09",3742
"1983-10",3745
"1983-11",3755
"1983-12",3754
"1984-01",3757
"1984-02",3757.5
"1984-03",3758
"1984-04",3761
"1984-05",3759
"1984-06",3772
"1984-07",3768
"1984-08",3756
"1984-09",3749
"1984-10",3753
"1984-11",3773
"1984-12",3815
"1985-01",3790
"1985-02",3811
"1985-03",3777
"1985-04",3742
"1985-05",3708
"1985-06",3725
"1985-07",3699
"1985-08",3637
"1985-09",3686
"1985-10",3670
"1985-11",3667
"1985-12",3625
"1986-01",3647
"1986-02",3649.5
"1986-03",3652
"1986-04",3674
"1986-05",3688
"1986-06",3709
"1986-07",3703
"1986-08",3703
"1986-09",3704
"1986-10",3739
"1986-11",3754
"1986-12",3755
"1987-01",3748
"1987-02",3727
"1987-03",3732
"1987-04",3735
"1987-05",3742
"1987-06",3736
"1987-07",3720
"1987-08",3731
"1987-09",3764
"1987-10",3798
"1987-11",3796
"1987-12",3793
"1988-01",3766
"1988-02",3747
"1988-03",3754
"1988-04",3756
"1988-05",3767
"1988-06",3751
"1988-07",3769
"1988-08",3760
"1988-09",3785
"1988-10",3776
"1988-11",3755
"1988-12",3755
"1989-01",3751
"1989-02",3776
"1989-03",3847
"1989-04",3830
"1989-05",3881
"1989-06",3899
"1989-07",3917
"1989-08",3913
"1989-09",3901
"1989-10",3886
"1989-11",3892.5
"1989-12",3899
"1990-01",3886
"1990-02",3908
"1990-03",3875
"1990-04",3860
"1990-05",3880
"1990-06",3895
"1990-07",3954
"1990-08",3933
"1990-09",3937
"1990-10",3869
"1990-11",3852
"1990-12",3837
"1991-01",3832
"1991-02",3849
"1991-03",3863
"1991-04",3878
"1991-05",3855
"1991-06",3843
"1991-07",3847
"1991-08",3801
"1991-09",3787
"1991-10",3776
"1991-11",3797
"1991-12",3821
"1992-01",3877
"1992-02",3875
"1992-03",3890
"1992-04",3910
"1992-05",3924
"1992-06",3918
"1992-07",3936
"1992-08",3911
"1992-09",3891
"1992-10",3855
