"Month","Monthly Lake Erie Levels 1921 ? 1970,"
"1921-01",14.763
"1921-02",14.649
"1921-03",15.085
"1921-04",16.376
"1921-05",16.926
"1921-06",16.774
"1921-07",16.490
"1921-08",15.769
"1921-09",15.180
"1921-10",14.383
"1921-11",14.478
"1921-12",14.364
"1922-01",13.928
"1922-02",13.283
"1922-03",13.700
"1922-04",15.465
"1922-05",16.243
"1922-06",16.490
"1922-07",16.243
"1922-08",15.787
"1922-09",15.446
"1922-10",14.649
"1922-11",13.776
"1922-12",13.188
"1923-01",13.283
"1923-02",12.657
"1923-03",12.979
"1923-04",13.909
"1923-05",14.535
"1923-06",14.877
"1923-07",14.858
"1923-08",14.288
"1923-09",13.947
"1923-10",13.416
"1923-11",12.903
"1923-12",13.454
"1924-01",13.491
"1924-02",13.567
"1924-03",13.397
"1924-04",14.440
"1924-05",15.161
"1924-06",15.427
"1924-07",15.693
"1924-08",15.142
"1924-09",14.763
"1924-10",14.288
"1924-11",13.074
"1924-12",12.543
"1925-01",12.239
"1925-02",12.011
"1925-03",12.827
"1925-04",13.567
"1925-05",13.548
"1925-06",13.302
"1925-07",13.188
"1925-08",13.112
"1925-09",12.827
"1925-10",12.201
"1925-11",11.917
"1925-12",11.803
"1926-01",11.157
"1926-02",10.892
"1926-03",11.120
"1926-04",12.600
"1926-05",13.283
"1926-06",13.416
"1926-07",13.340
"1926-08",13.529
"1926-09",13.776
"1926-10",14.307
"1926-11",13.852
"1926-12",13.833
"1927-01",13.169
"1927-02",12.941
"1927-03",13.188
"1927-04",14.383
"1927-05",14.763
"1927-06",15.218
"1927-07",15.161
"1927-08",14.858
"1927-09",14.156
"1927-10",13.586
"1927-11",13.150
"1927-12",14.137
"1928-01",14.231
"1928-02",14.364
"1928-03",13.833
"1928-04",14.478
"1928-05",15.009
"1928-06",15.617
"1928-07",16.148
"1928-08",15.977
"1928-09",15.142
"1928-10",14.592
"1928-11",14.364
"1928-12",14.497
"1929-01",14.554
"1929-02",14.991
"1929-03",15.863
"1929-04",17.932
"1929-05",19.184
"1929-06",19.184
"1929-07",18.956
"1929-08",18.254
"1929-09",17.514
"1929-10",16.660
"1929-11",16.338
"1929-12",16.319
"1930-01",17.457
"1930-02",17.173
"1930-03",17.856
"1930-04",18.596
"1930-05",18.558
"1930-06",18.159
"1930-07",17.685
"1930-08",16.812
"1930-09",16.072
"1930-10",15.332
"1930-11",14.478
"1930-12",14.213
"1931-01",13.738
"1931-02",13.169
"1931-03",12.581
"1931-04",13.245
"1931-05",13.852
"1931-06",14.175
"1931-07",14.288
"1931-08",13.985
"1931-09",13.435
"1931-10",12.884
"1931-11",12.429
"1931-12",12.410
"1932-01",13.397
"1932-02",13.909
"1932-03",13.833
"1932-04",14.099
"1932-05",14.687
"1932-06",14.611
"1932-07",14.383
"1932-08",13.909
"1932-09",13.359
"1932-10",12.296
"1932-11",12.106
"1932-12",11.803
"1933-01",12.353
"1933-02",12.220
"1933-03",12.827
"1933-04",14.250
"1933-05",15.085
"1933-06",14.953
"1933-07",14.440
"1933-08",13.890
"1933-09",13.036
"1933-10",12.201
"1933-11",11.404
"1933-12",11.309
"1934-01",10.987
